104 ; 7.20095123e-03 ; -3.12824985e-02 
105 ; 5.45583779e-03 ; -1.75141441e-02 
106 ; 3.64768881e-03 ; -7.44954311e-03 
107 ; 1.77645612e-03 ; -1.39248903e-03 
108 ; 0.00000000e+00 ; 0.00000000e+00 
109 ; -3.49923961e-02 ; -1.64520417e+00 
110 ; -3.49607331e-02 ; -1.57500563e+00 
111 ; -3.48759004e-02 ; -1.50482768e+00 
112 ; -3.47253151e-02 ; -1.43485551e+00 
113 ; -3.45141417e-02 ; -1.36522369e+00 
114 ; -3.42458006e-02 ; -1.29605003e+00 
115 ; -3.39209147e-02 ; -1.22744811e+00 
116 ; -3.35393679e-02 ; -1.15953131e+00 
117 ; -3.31009749e-02 ; -1.09241325e+00 
118 ; -3.26056192e-02 ; -1.02620775e+00 
119 ; -3.20532475e-02 ; -9.61028766e-01 
120 ; -3.14438421e-02 ; -8.96990287e-01 
121 ; -3.07774010e-02 ; -8.34206338e-01 
122 ; -3.00539273e-02 ; -7.72790959e-01 
123 ; -2.92734243e-02 ; -7.12858191e-01 
124 ; -2.84358946e-02 ; -6.54522081e-01 
125 ; -2.75413400e-02 ; -5.97896676e-01 
126 ; -2.65897615e-02 ; -5.43096023e-01 
127 ; -2.55811604e-02 ; -4.90234167e-01 
128 ; -2.45155383e-02 ; -4.39425156e-01 
129 ; -2.33928981e-02 ; -3.90783034e-01 
130 ; -2.22132443e-02 ; -3.44421848e-01 
131 ; -2.09765832e-02 ; -3.00455642e-01 
132 ; -1.96829190e-02 ; -2.58998465e-01 
133 ; -1.83322410e-02 ; -2.20164377e-01 
134 ; -1.69244870e-02 ; -1.84067463e-01 
135 ; -1.54594525e-02 ; -1.50821865e-01 
136 ; -1.39365869e-02 ; -1.20541817e-01 
137 ; -1.23545748e-02 ; -9.33416391e-02 
138 ; -1.07105508e-02 ; -6.93355377e-02 
139 ; -8.99881065e-03 ; -4.86367526e-02 
140 ; -7.20929638e-03 ; -3.13552206e-02 
141 ; -5.32877549e-03 ; -1.75941903e-02 
142 ; -3.36356581e-03 ; -7.46607736e-03 
143 ; -1.49318812e-03 ; -1.31691899e-03 
144 ; 0.00000000e+00 ; 0.00000000e+00 
145 ; -1.04392362e-01 ; -1.64543196e+00 
146 ; -1.04254194e-01 ; -1.57510418e+00 
147 ; -1.03999488e-01 ; -1.50494641e+00 
148 ; -1.03573046e-01 ; -1.43502445e+00 
149 ; -1.02969152e-01 ; -1.36544402e+00 
150 ; -1.02190669e-01 ; -1.29631986e+00 
151 ; -1.01239774e-01 ; -1.22776671e+00 
152 ; -1.00117362e-01 ; -1.15989858e+00 
153 ; -9.88237349e-02 ; -1.09282927e+00 
154 ; -9.73589867e-02 ; -1.02667259e+00 
155 ; -9.57231470e-02 ; -9.61542470e-01 
156 ; -9.39162263e-02 ; -8.97552868e-01 
157 ; -9.19382295e-02 ; -8.34817802e-01 
158 ; -8.97891592e-02 ; -7.73451304e-01 
159 ; -8.74690168e-02 ; -7.13567417e-01 
160 ; -8.49778032e-02 ; -6.55280186e-01 
161 ; -8.23155187e-02 ; -5.98703659e-01 
162 ; -7.94821636e-02 ; -5.43951883e-01 
163 ; -7.64777377e-02 ; -4.91138904e-01 
164 ; -7.33022408e-02 ; -4.40378768e-01 
165 ; -6.99556718e-02 ; -3.91785520e-01 
166 ; -6.64380288e-02 ; -3.45473206e-01 
167 ; -6.27493074e-02 ; -3.01555874e-01 
168 ; -5.88894989e-02 ; -2.60147586e-01 
169 ; -5.48585861e-02 ; -2.21362436e-01 
170 ; -5.06565359e-02 ; -1.85314598e-01 
171 ; -4.62832843e-02 ; -1.52118416e-01 
